time,n_sherlock,lat,lon
2019-03-29 23:47:16.454,1,-22.91808334,-43.24788246
2019-03-29 23:47:16.692,2,-22.91808334,-43.24788246
2019-03-29 23:47:16.936,3,-22.91808334,-43.24788246
2019-03-29 23:47:17.143,4,-22.91808334,-43.24788246
2019-03-29 23:47:17.361,5,-22.91808334,-43.24788246
2019-03-29 23:48:58.293,4,-22.91711742,-43.24246705
2019-03-29 23:54:34.215,5,-22.91578144,-43.23174912
2019-03-29 23:57:39.822,6,-22.91752703,-43.22494639
2019-03-29 23:59:13.848,7,-22.92146927,-43.21998885
2019-03-30 00:00:24.405,6,-22.92075027,-43.21779017
2019-03-30 00:01:20.926,5,-22.91986252,-43.21521227
2019-03-30 00:04:12.229,6,-22.91753704,-43.21126911
2019-03-30 00:06:03.070,7,-22.91718907,-43.21050517
2019-03-30 00:07:31.028,6,-22.91428126,-43.20546361
2019-03-30 00:07:33.783,7,-22.91428126,-43.20546361
2019-03-30 00:07:36.260,8,-22.91428721,-43.20552389
2019-03-30 00:07:43.547,9,-22.91429962,-43.20548434
2019-03-30 00:09:05.524,10,-22.91331347,-43.20289467
2019-03-30 00:09:05.603,11,-22.91331347,-43.20289467
2019-03-30 00:09:46.446,10,-22.9136953,-43.20098571
2019-03-30 00:09:55.281,11,-22.91389465,-43.2007002
2019-03-30 00:10:59.748,10,-22.91422828,-43.1963601
2019-03-30 00:11:31.460,11,-22.91419411,-43.19620096
2019-03-30 00:12:31.127,10,-22.9164357,-43.1944831
2019-03-30 00:12:31.375,9,-22.9164357,-43.1944831
2019-03-30 00:12:32.180,10,-22.9164357,-43.1944831
2019-03-30 00:12:32.548,11,-22.9164357,-43.1944831
2019-03-30 00:12:32.896,12,-22.9164357,-43.1944831
2019-03-30 00:15:24.662,13,-22.9365824,-43.18383213
2019-03-30 00:15:24.822,14,-22.9365824,-43.18383213
2019-03-30 00:15:55.357,15,-22.94017196,-43.18281661
2019-03-30 00:16:54.680,14,-22.94317701,-43.18336382
2019-03-30 00:16:54.930,13,-22.94317701,-43.18336382
2019-03-30 00:17:40.498,12,-22.94506003,-43.18402353
2019-03-30 00:19:14.576,11,-22.94602052,-43.18361981
2019-03-30 00:19:15.130,10,-22.94602052,-43.18361981
2019-03-30 00:24:45.310,9,-22.9556787,-43.1788012
2019-03-30 00:24:47.332,8,-22.9556787,-43.1788012
2019-03-30 00:27:29.040,7,-22.96524963,-43.18044657
2019-03-30 00:27:30.761,8,-22.96527595,-43.18045488
2019-03-30 00:28:47.057,7,-22.96688284,-43.18307493
2019-03-30 00:30:00.784,8,-22.96753577,-43.18397313
2019-03-30 00:30:40.462,7,-22.96886343,-43.18613865
2019-03-30 00:32:07.482,6,-22.96944475,-43.18722744
2019-03-30 00:32:08.057,7,-22.96944475,-43.18722744
2019-03-30 00:33:34.247,8,-22.97333734,-43.19103393
2019-03-30 00:35:27.997,9,-22.97549733,-43.19216948
2019-03-30 00:36:09.597,8,-22.97616281,-43.19241039
2019-03-30 00:37:52.962,7,-22.98142567,-43.19251759
2019-03-30 00:38:14.426,8,-22.98236345,-43.19211734
2019-03-30 00:39:45.304,7,-22.98524436,-43.19177318
2019-03-30 00:41:17.245,6,-22.98567412,-43.19804579
2019-03-30 00:41:17.480,5,-22.98567412,-43.19804579
2019-03-30 00:43:43.402,4,-22.98535449,-43.20453667
2019-03-30 00:45:59.440,3,-22.98509359,-43.2105442
2019-03-30 00:45:59.679,2,-22.98509359,-43.2105442
