time,n_sherlock,lat,lon
2019-03-30 01:01:49.129,1,-22.98500142,-43.21245903
2019-03-30 01:01:49.306,2,-22.98500142,-43.21245903
2019-03-30 01:01:49.489,3,-22.98500142,-43.21245903
2019-03-30 01:01:49.674,4,-22.98500142,-43.21245903
2019-03-30 01:01:49.860,5,-22.98500142,-43.21245903
2019-03-30 01:01:50.053,6,-22.98500142,-43.21245903
2019-03-30 01:01:50.251,7,-22.98500142,-43.21245903
2019-03-30 01:01:50.506,8,-22.98500142,-43.21245903
2019-03-30 01:01:50.733,9,-22.98500142,-43.21245903
2019-03-30 01:01:51.250,10,-22.98500142,-43.21245903
2019-03-30 01:02:09.065,11,-22.98338935,-43.21636917
2019-03-30 01:02:37.545,12,-22.98352765,-43.21612892
2019-03-30 01:06:42.213,11,-22.98379089,-43.21104789
2019-03-30 01:06:42.546,10,-22.98379089,-43.21104789
2019-03-30 01:08:05.671,11,-22.98400808,-43.20970196
2019-03-30 01:10:19.790,12,-22.98419717,-43.20419634
2019-03-30 01:10:23.175,13,-22.98415595,-43.2041118
2019-03-30 01:15:28.816,12,-22.98330437,-43.19262271
2019-03-30 01:15:31.156,11,-22.98326423,-43.19266823
2019-03-30 01:15:32.025,12,-22.98326423,-43.19266823
2019-03-30 01:17:39.615,11,-22.98113483,-43.19102108
2019-03-30 01:17:58.767,12,-22.98106584,-43.19110441
2019-03-30 01:19:19.286,11,-22.97992028,-43.1910531
2019-03-30 01:19:22.336,12,-22.97991635,-43.19104442
2019-03-30 01:20:15.885,13,-22.97722167,-43.19043974
2019-03-30 01:22:26.668,14,-22.97309684,-43.18847088
2019-03-30 01:25:50.803,15,-22.96870201,-43.18427436
2019-03-30 01:25:54.686,16,-22.96869002,-43.18426057
2019-03-30 01:26:06.758,17,-22.96865298,-43.18428703
2019-03-30 01:28:02.944,18,-22.96553546,-43.17859801
2019-03-30 01:32:17.241,17,-22.96221982,-43.17488621
2019-03-30 01:32:17.561,16,-22.96221982,-43.17488621
2019-03-30 01:33:41.489,17,-22.95716496,-43.17738618
2019-03-30 01:33:44.206,18,-22.95717374,-43.17736878
2019-03-30 01:35:27.929,19,-22.95720845,-43.17736852
2019-03-30 01:36:59.050,20,-22.95280459,-43.17605826
2019-03-30 01:39:55.516,19,-22.94734312,-43.18234797
2019-03-30 01:42:14.184,20,-22.9418641,-43.1817871
2019-03-30 01:47:07.274,19,-22.91747089,-43.19411364
2019-03-30 01:47:07.526,18,-22.91747089,-43.19411364
2019-03-30 01:48:54.967,17,-22.91671877,-43.195169
2019-03-30 01:53:46.855,16,-22.91407999,-43.20534979
2019-03-30 01:53:47.199,15,-22.91407999,-43.20534979
2019-03-30 01:53:48.802,14,-22.91407999,-43.20534979
2019-03-30 02:08:37.449,13,-22.91802573,-43.23472894
2019-03-30 02:09:03.243,12,-22.91755979,-43.23481163
2019-03-30 02:09:03.494,11,-22.91755979,-43.23481163
2019-03-30 02:09:03.677,10,-22.91755979,-43.23481163
2019-03-30 02:09:32.323,9,-22.91649252,-43.2350598
2019-03-30 02:09:32.674,8,-22.91649252,-43.2350598
2019-03-30 02:15:46.596,7,-22.91565964,-43.24552086
