time,rssi,mac,lat,lon
2019-03-30 01:03:23,-79,28:83:35:c7:89:87,-22.98374165,-43.21454639
2019-03-30 01:03:23,-77,cc:61:e5:98:ea:9f,-22.98374165,-43.21454639
2019-03-30 01:03:23,-79,38:9a:f6:33:57:43,-22.98374165,-43.21454639
2019-03-30 01:03:23,-65,30:cb:f8:11:94:4f,-22.98374165,-43.21454639
2019-03-30 01:03:23,-85,28:83:35:64:3b:89,-22.98374165,-43.21454639
2019-03-30 01:03:23,-85,30:cb:f8:b6:c0:92,-22.98374165,-43.21454639
2019-03-30 01:03:24,-81,02:52:ed:6e:65:28,-22.98374165,-43.21454639
2019-03-30 01:03:24,-51,dc:bf:e9:e6:0f:24,-22.98374165,-43.21454639
2019-03-30 01:03:24,-79,da:a1:19:ee:5a:50,-22.98374165,-43.21454639
2019-03-30 01:03:24,-73,cc:b8:a8:63:c4:1a,-22.98374165,-43.21454639
2019-03-30 01:03:25,-81,1c:af:f7:76:73:5e,-22.98375401,-43.21433269
2019-03-30 01:03:25,-75,1e:50:67:1e:1b:14,-22.98375401,-43.21433269
2019-03-30 01:03:25,-77,f8:77:b8:1a:1e:34,-22.98375401,-43.21433269
2019-03-30 01:03:25,-89,cc:b8:a8:63:c4:1a,-22.98375401,-43.21433269
2019-03-30 01:03:26,-79,b8:e9:37:70:e8:10,-22.98375401,-43.21433269
2019-03-30 01:03:26,-83,da:a1:19:de:40:9b,-22.98375401,-43.21433269
2019-03-30 01:03:28,-81,0c:cb:85:bf:d9:e6,-22.98378489,-43.21412382
2019-03-30 01:03:29,-81,b8:e9:37:70:e8:10,-22.98378489,-43.21412382
2019-03-30 01:03:30,-89,8c:f7:10:28:34:1a,-22.98378489,-43.21412382
2019-03-30 01:03:31,-91,60:1d:91:8a:c5:0b,-22.98379914,-43.21401246
2019-03-30 01:03:31,-73,8c:f7:10:28:34:1a,-22.98379914,-43.21401246
2019-03-30 01:03:32,-75,30:cb:f8:b6:c0:92,-22.98379914,-43.21401246
2019-03-30 01:03:32,-69,28:83:35:64:3b:89,-22.98379914,-43.21401246
2019-03-30 01:03:33,-83,60:1d:91:a7:46:4e,-22.98379914,-43.21401246
2019-03-30 01:03:34,-75,28:83:35:c7:89:87,-22.9837534,-43.21400194
2019-03-30 01:03:35,-75,f0:d7:aa:b2:e3:b9,-22.9837534,-43.21400194
2019-03-30 01:03:35,-83,b8:e9:37:70:e8:10,-22.9837534,-43.21400194
2019-03-30 01:03:35,-75,f0:d7:aa:11:b0:73,-22.9837534,-43.21400194
2019-03-30 01:03:37,-79,60:1d:91:8a:c5:0b,-22.98375354,-43.21399005
2019-03-30 01:03:37,-75,7a:01:e7:06:32:62,-22.98375354,-43.21399005
2019-03-30 01:03:37,-73,38:9a:f6:99:75:d7,-22.98375354,-43.21399005
2019-03-30 01:03:38,-75,38:9a:f6:99:75:d7,-22.98375354,-43.21399005
2019-03-30 01:03:38,-83,f0:d7:aa:12:eb:29,-22.98375354,-43.21399005
2019-03-30 01:03:38,-85,3e:99:7c:7a:df:33,-22.98375354,-43.21399005
2019-03-30 01:03:38,-83,08:8c:2c:ec:76:aa,-22.98375354,-43.21399005
2019-03-30 01:03:38,-89,76:0f:01:c8:81:3f,-22.98375354,-43.21399005
2019-03-30 01:03:40,-89,8c:f7:10:28:34:1a,-22.98375883,-43.21399011
2019-03-30 01:03:41,-73,0c:ae:7d:ba:cf:c6,-22.98375883,-43.21399011
2019-03-30 01:03:42,-73,5a:b9:fb:a1:bf:cb,-22.98375883,-43.21399011
2019-03-30 01:03:43,-91,60:1d:91:8a:c5:0b,-22.98375681,-43.21399152
2019-03-30 01:03:43,-79,80:58:f8:74:56:04,-22.98375681,-43.21399152
2019-03-30 01:03:44,-89,38:9a:f6:f4:32:0b,-22.98375681,-43.21399152
2019-03-30 01:03:44,-45,dc:bf:e9:ea:10:e2,-22.98375681,-43.21399152
2019-03-30 01:03:45,-73,38:9a:f6:f4:32:0b,-22.9837574,-43.2140296
2019-03-30 01:03:49,-89,60:1d:91:8a:c5:0b,-22.98374469,-43.21397039
2019-03-30 01:03:50,-85,ac:7b:a1:52:cb:d2,-22.98374469,-43.21397039
2019-03-30 01:03:50,-71,64:32:a8:13:ea:d9,-22.98374469,-43.21397039
2019-03-30 01:03:50,-73,8c:f7:10:28:34:1a,-22.98374469,-43.21397039
2019-03-30 01:03:51,-75,f8:77:b8:1a:1e:34,-22.9837387,-43.21396661
2019-03-30 01:03:51,-77,f8:2d:7c:80:f2:a6,-22.9837387,-43.21396661
2019-03-30 01:03:52,-59,fc:64:3a:c6:24:ce,-22.9837387,-43.21396661
2019-03-30 01:03:52,-55,00:3d:e8:b3:aa:45,-22.9837387,-43.21396661
2019-03-30 01:03:53,-69,fc:64:3a:c6:24:ce,-22.98373554,-43.21396449
2019-03-30 01:03:53,-77,00:3d:e8:b3:aa:45,-22.98373554,-43.21396449
2019-03-30 01:03:53,-69,30:cb:f8:11:94:4f,-22.98373554,-43.21396449
2019-03-30 01:03:53,-73,48:49:c7:8a:c8:e8,-22.98373554,-43.21396449
2019-03-30 01:03:54,-85,00:05:16:5c:49:af,-22.98373554,-43.21396449
2019-03-30 01:03:54,-63,30:cb:f8:11:94:4f,-22.98373554,-43.21396449
2019-03-30 01:03:55,-79,3c:bb:fd:78:53:20,-22.98373554,-43.21396449
2019-03-30 01:03:55,-87,60:1d:91:8a:c5:0b,-22.98373554,-43.21396449
2019-03-30 01:03:59,-65,fc:64:3a:39:62:d0,-22.98373358,-43.21396672
2019-03-30 01:03:59,-87,28:83:35:58:6f:45,-22.98373358,-43.21396672
2019-03-30 01:04:00,-69,fc:64:3a:c6:24:ce,-22.98373358,-43.21396672
2019-03-30 01:04:00,-69,14:32:d1:1a:0e:dc,-22.98373358,-43.21396672
2019-03-30 01:04:00,-69,8c:f7:10:28:34:1a,-22.98373358,-43.21396672
2019-03-30 01:04:01,-63,fc:64:3a:c6:24:ce,-22.98373358,-43.21396672
2019-03-30 01:04:01,-77,60:1d:91:8a:c5:0b,-22.98373358,-43.21396672
2019-03-30 01:04:01,-77,48:49:c7:02:01:f0,-22.98373358,-43.21396672
2019-03-30 01:04:02,-77,d0:77:14:66:cd:61,-22.98373355,-43.21396774
2019-03-30 01:04:02,-85,00:05:16:5c:49:af,-22.98373355,-43.21396774
2019-03-30 01:04:02,-81,38:9a:f6:99:75:d7,-22.98373355,-43.21396774
2019-03-30 01:04:03,-77,38:9a:f6:99:75:d7,-22.98373355,-43.21396774
2019-03-30 01:04:03,-75,80:d2:1d:00:1e:7c,-22.98373355,-43.21396774
2019-03-30 01:04:04,-69,28:83:35:c7:89:87,-22.98373355,-43.21396774
2019-03-30 01:04:05,-89,28:83:35:58:6f:45,-22.98373359,-43.21396804
2019-03-30 01:04:06,-43,dc:bf:e9:d7:73:1f,-22.98373359,-43.21396804
