time,n_sherlock,lat,lon
2019-05-13 22:36:41.148,1,-22.91770562,-43.24584603
2019-05-13 22:36:41.357,2,-22.91770562,-43.24584603
2019-05-13 22:36:41.523,3,-22.91770562,-43.24584603
2019-05-13 22:36:41.688,4,-22.91770562,-43.24584603
2019-05-13 22:36:41.874,5,-22.91770562,-43.24584603
2019-05-13 22:36:42.107,6,-22.91770562,-43.24584603
2019-05-13 22:36:42.275,7,-22.91770562,-43.24584603
2019-05-13 22:36:42.478,8,-22.91770562,-43.24584603
2019-05-13 22:36:42.928,9,-22.91770562,-43.24584603
2019-05-13 22:36:43.203,10,-22.91766704,-43.24587269
2019-05-13 22:36:43.226,11,-22.91766704,-43.24587269
2019-05-13 22:36:43.486,12,-22.91766704,-43.24587269
2019-05-13 22:36:43.935,13,-22.91766704,-43.24587269
2019-05-13 22:38:31.038,12,-22.91608633,-43.23699054
2019-05-13 22:38:32.134,11,-22.91608633,-43.23699054
2019-05-13 22:38:37.457,12,-22.91604456,-43.23697612
2019-05-13 22:40:24.701,11,-22.91472336,-43.23386366
2019-05-13 22:45:09.497,10,-22.9106171,-43.22179737
2019-05-13 22:45:15.529,11,-22.91061853,-43.22180802
2019-05-13 22:45:16.299,12,-22.91061853,-43.22180802
2019-05-13 22:48:14.727,13,-22.91030033,-43.20577132
2019-05-13 22:48:15.950,14,-22.91030033,-43.20577132
2019-05-13 22:49:51.467,15,-22.9102102,-43.2002022
2019-05-13 22:50:19.423,16,-22.91141326,-43.19953467
2019-05-13 22:52:13.465,15,-22.91427091,-43.19647914
2019-05-13 22:52:30.726,16,-22.91426931,-43.1964414
2019-05-13 22:53:19.694,15,-22.91650979,-43.19446472
2019-05-13 22:53:19.930,14,-22.91650979,-43.19446472
2019-05-13 22:53:21.733,13,-22.91651117,-43.19448272
2019-05-13 22:56:57.687,12,-22.93628704,-43.18392322
2019-05-13 22:56:58.662,11,-22.93629461,-43.18391897
2019-05-13 22:58:01.514,10,-22.94029433,-43.18291766
2019-05-13 22:59:55.805,9,-22.9449112,-43.18403993
2019-05-13 23:00:31.696,8,-22.94759884,-43.18417841
2019-05-13 23:04:06.282,7,-22.94995587,-43.19072393
2019-05-13 23:04:06.596,6,-22.94995587,-43.19072393
2019-05-13 23:06:24.194,7,-22.95605438,-43.19220203
2019-05-13 23:07:43.575,8,-22.9570612,-43.19178091
2019-05-13 23:07:44.227,9,-22.9570612,-43.19178091
2019-05-13 23:07:44.705,10,-22.9570612,-43.19178091
2019-05-13 23:08:20.733,11,-22.95914897,-43.19110129
2019-05-13 23:09:24.108,12,-22.96468204,-43.18989744
2019-05-13 23:10:10.457,11,-22.96640291,-43.18726491
2019-05-13 23:10:10.937,10,-22.96640291,-43.18726491
2019-05-13 23:10:11.626,9,-22.96639672,-43.18722141
2019-05-13 23:11:53.117,8,-22.96874751,-43.18590183
2019-05-13 23:11:53.537,7,-22.96874751,-43.18590183
2019-05-13 23:11:53.941,6,-22.96874751,-43.18590183
2019-05-13 23:11:54.337,5,-22.96876562,-43.18593748
2019-05-13 23:11:55.329,6,-22.96876562,-43.18593748
2019-05-13 23:14:40.097,5,-22.97511548,-43.19199163
2019-05-13 23:17:01.956,4,-22.98132402,-43.19246661
2019-05-13 23:17:59.534,3,-22.98522416,-43.19219727
